idVeiculo,endereco_internet
1,https://g1.globo.com/rj/rio-de-janeiro/noticia/2020/07/23/morre-no-rio-o-musico-sergio-ricardo.ghtml
3,https://g1.globo.com/bemestar/coronavirus/noticia/2020/07/16/casos-e-mortes-por-coronavirus-no-brasil-em-16-de-julho-segundo-consorcio-de-veiculos-de-imprensa.ghtml#
4,https://www.segs.com.br/eventos/233173-iii-episodio-da-tirania-da-minuscula-coroa-covid-19-mostra-contraste-entre-paises-desenvolvidos-e-comunidades-do-brasil
15,http://alicevarajao.blogspot.com/search/label/O%20Enigma
50,https://blogs.ne10.uol.com.br/jamildo/2020/10/26/marilia-arraes-vai-a-sao-paulo-para-gravar-programas-eleitorais-com-lula-visando-reta-final-da-campanha-no-recife/
57,https://ci6.googleusercontent.com/proxy/nV0Ealra-gRzxCOWjuHyPN_uAGmH6PpblDaa7Cnz02wfQLilVGCKYI-nc9KakWW8GU8BaMOiC2jpXpyiyrJzAXiMXFynEg5IEUrtD63d=s0-d-e1-ft#https://assets.blogdobg.com.br/uploads/2020/02/24787906.jpg
69,http://blogdocrato.blogspot.com/2010_10_24_archive.html
81,https://blog.flaviomarinho.com.br/vou-sair-na-porrada-diz-susana-vieira-em-defesa-de-regina-duarte/
106,https://noticias.uol.com.br/eleicoes/2020/10/08/crivella-diz-ser-o-mais-frustrado-dos-cariocas-e-se-defende-de-denuncias.htm
128,https://1.bp.blogspot.com/-3gOD3nw2OOk/XlOHJAWtDaI/AAAAAAAHwRA/o3DZJ8p8fGYd6GsTiE2lalxZcibzV4PUQCLcBGAsYHQ/s400/anitta3.jpg
169,https://diariodonordeste.verdesmares.com.br/ultima-hora/seu-direito/saiba-o-que-fazer-quando-o-plano-de-saude-negar-exame-para-covid-19-1.3038320
221,https://odia.ig.com.br/rio-de-janeiro/2020/07/5958282-reveillon-no-rio-nao-vai-ter-queima-de-fogos-nem-aglomeracao-em-copacabana.html
224,"https://oglobo.globo.com/rio/carnaval/ingressos-disputados-programacao-exclusiva-desculpas-inusitadas-tudo-pelos-camarotes-da-sapucai-24263476
"
226,https://www.opovo.com.br/noticias/mundo/2020/08/04/fotos-videos-explosao-libano-beirute-acidente-mortos-feridos-porto.html
262,http://www.tribunadonorte.com.br/noticia/apoiados-por-bolsonaro-derrapam-em-pesquisas/494035
